sno,year,month,date,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,Tavg,min,max,DstYear,Century
21586,2016,2,7,-3,1,4,5,3,1,8,7,7,4,-3,-7,-9,-10,-11,-13,-15,-16,-19,-17,-14,-15,-17,-19,-6,-19,8,DST1602*07,RRX020
21587,2016,2,8,-26,-26,-26,-27,-29,-34,-35,-40,-35,-26,-22,-24,-24,-22,-23,-23,-24,-21,-16,-12,-10,-11,-11,-11,-23,-40,-10,DST1602*08,RRX020
21588,2016,2,9,-7,-1,2,6,9,11,11,5,1,-9,-20,-15,-10,-8,-9,-9,-12,-11,-6,-1,0,-5,-9,-8,-4,-20,11,DST1602*09,RRX020
21589,2016,2,10,-9,-10,-8,-6,-5,-7,-12,-14,-21,-23,-18,-13,-10,-9,-11,-12,-11,-9,-6,-4,-7,-12,-15,-19,-11,-23,-4,DST1602*10,RRX020
21590,2016,2,11,-19,-18,-16,-13,-12,-15,-20,-24,-29,-28,-25,-22,-16,-9,-14,-17,-22,-22,-16,-9,-9,-13,-26,-38,-19,-38,-9,DST1602*11,RRX020
21591,2016,2,12,-40,-37,-26,-23,-18,-13,-8,-8,-6,-13,-32,-38,-27,-11,-8,-8,-8,-11,-8,4,16,18,16,17,-11,-40,18,DST1602*12,RRX020
21592,2016,2,13,16,13,13,23,26,18,-2,-6,0,-2,-7,-8,-4,4,8,4,-1,-1,-1,0,0,-3,-3,-4,3,-8,26,DST1602*13,RRX020
21593,2016,2,14,-5,-5,-5,1,4,1,-4,-11,-16,-18,-17,-16,-15,-9,-7,-10,-13,-9,-6,-4,-4,-8,-7,-4,-8,-18,4,DST1602*14,RRX020
21594,2016,2,15,-6,-6,-5,-3,-6,-7,-4,-1,0,0,1,-1,-4,-3,0,0,-1,2,5,6,5,1,-11,-18,-2,-18,6,DST1602*15,RRX020
21595,2016,2,16,-27,-22,-19,-22,-20,-22,-17,-16,-6,-19,-23,-10,-19,-27,-22,-18,-29,-40,-42,-57,-48,-47,-46,-46,-28,-57,-6,DST1602*16,RRX020
