sno,year,month,date,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,Tavg,min,max,DstYear,Century
21915,2017,January,1,-12,-13,-16,-23,-29,-30,-28,-20,-18,-16,-12,-15,-13,-12,-13,-11,-13,-15,-13,-11,-11,-12,-11,-8,-16,-30,-8,DST1701*01,RRX020
21916,2017,January,2,-4,-5,-8,-10,-11,-9,-11,-15,-14,-11,-11,-13,-17,-23,-28,-27,-24,-22,-19,-17,-16,-14,-14,-9,-15,-28,-4,DST1701*02,RRX020
21917,2017,January,3,-6,-7,-6,-5,-6,-4,0,6,3,7,-5,-16,-22,-20,-17,-15,-15,-21,-27,-19,-19,-22,-19,-17,-11,-27,7,DST1701*03,RRX020
21918,2017,January,4,-11,-8,-4,1,12,11,8,3,-1,-2,-4,-4,-7,-11,-7,-4,-15,-15,-18,-23,-24,-28,-23,-22,-8,-28,12,DST1701*04,RRX020
21919,2017,January,5,-20,-18,-18,-18,-11,-6,-11,-10,-12,-10,-9,-5,-3,-2,-3,-3,-9,-16,-15,-10,-10,-14,-20,-33,-12,-33,-2,DST1701*05,RRX020
21920,2017,January,6,-29,-29,-29,-22,-16,-15,-18,-21,-16,-19,-18,-16,-14,-19,-20,-15,-15,-19,-18,-15,-15,-16,-14,-13,-18,-29,-13,DST1701*06,RRX020
21921,2017,January,7,-16,-17,-14,-13,-13,-15,-17,-15,-13,-11,-9,-11,-10,-17,-15,-14,-17,-18,-20,-20,-20,-22,-24,-21,-16,-24,-9,DST1701*07,RRX020
21922,2017,January,8,-16,-17,-17,-14,-13,-13,-15,-12,-13,-20,-17,-17,-19,-18,-15,-18,-24,-22,-21,-19,-20,-24,-28,-31,-18,-31,-12,DST1701*08,RRX020
21923,2017,January,9,-29,-25,-24,-22,-20,-17,-16,-14,-13,-12,-11,-14,-16,-17,-23,-21,-19,-19,-16,-13,-15,-17,-20,-19,-18,-29,-11,DST1701*09,RRX020
21924,2017,January,10,-21,-21,-20,-18,-17,-16,-11,-5,-5,-7,-8,-10,-11,-16,-13,-10,-15,-22,-22,-23,-23,-20,-17,-17,-15,-23,-5,DST1701*10,RRX020
