sno,year,month,date,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,Tavg,min,max,DstYear,Century
21184,2015,1,1,-14,-13,-15,-13,-12,-13,-13,-9,-8,-7,-3,-1,3,8,9,7,3,1,1,-2,-5,-7,-7,-14,-5,-15,9,DST1501*01,PPX120
21185,2015,1,2,-22,-21,-16,-7,-3,-4,-4,1,-1,3,10,8,8,4,-5,-2,0,-2,-17,-30,-42,-42,-37,-31,-11,-42,10,DST1501*02,PPX120
21186,2015,1,3,-32,-36,-28,-20,-9,-18,-29,-27,-23,-25,-23,-25,-20,-17,-13,-12,-14,-15,-16,-15,-12,-12,-13,-15,-20,-36,-9,DST1501*03,PPX120
21187,2015,1,4,-16,-17,-14,-9,-8,-12,-19,-25,-28,-27,-20,-27,-41,-51,-56,-55,-62,-51,-56,-58,-61,-71,-61,-52,-37,-71,-8,DST1501*04,PPX120
21188,2015,1,5,-62,-45,-37,-31,-33,-44,-47,-40,-40,-36,-31,-29,-30,-30,-26,-24,-22,-23,-25,-28,-32,-39,-37,-37,-35,-62,-22,DST1501*05,PPX120
21189,2015,1,6,-39,-34,-32,-28,-24,-30,-31,-29,-33,-42,-38,-30,-28,-23,-21,-22,-26,-24,-25,-13,-14,-20,-20,-13,-27,-42,-13,DST1501*06,PPX120
21190,2015,1,7,-9,1,6,6,6,1,7,18,-21,-66,-97,-99,-93,-93,-95,-90,-80,-66,-54,-42,-38,-32,-43,-45,-42,-99,18,DST1501*07,PPX120
21191,2015,1,8,-48,-52,-41,-41,-40,-34,-41,-47,-49,-49,-48,-46,-42,-36,-31,-32,-36,-33,-30,-31,-27,-27,-31,-35,-39,-52,-27,DST1501*08,PPX120
21192,2015,1,9,-36,-38,-36,-31,-24,-24,-28,-30,-35,-36,-31,-29,-25,-23,-24,-21,-26,-28,-28,-26,-24,-21,-18,-20,-28,-38,-18,DST1501*09,PPX120
21193,2015,1,10,-26,-30,-23,-19,-17,-14,-19,-21,-23,-24,-22,-23,-21,-14,-11,-8,-10,-16,-16,-14,-12,-12,-11,-8,-17,-30,-8,DST1501*10,PPX120
21194,2015,1,11,-12,-16,-19,-18,-16,-18,-20,-21,-29,-29,-24,-26,-29,-30,-27,-21,-21,-23,-21,-18,-14,-21,-22,-19,-21,-30,-12,DST1501*11,PPX120
21195,2015,1,12,-20,-17,-17,-16,-11,-10,-13,-11,-11,-14,-17,-26,-30,-30,-28,-26,-21,-21,-19,-20,-20,-18,-17,-13,-19,-30,-10,DST1501*12,PPX120
21196,2015,1,13,-15,-15,-14,-12,-8,-7,-9,-11,-8,-8,-8,-10,-17,-23,-18,-13,-11,-12,-12,-10,-11,-17,-15,-15,-12,-23,-7,DST1501*13,PPX120
21197,2015,1,14,-19,-18,-17,-15,-13,-12,-8,-5,-5,-9,-17,-20,-22,-19,-12,-6,-4,-5,-7,-8,-7,-6,-6,-7,-11,-22,-4,DST1501*14,PPX120
21198,2015,1,15,-9,-8,-9,-6,-5,-5,-5,-8,-6,0,4,-3,-7,-7,-11,-14,-10,-8,-8,-7,-4,-4,-5,-5,-6,-14,4,DST1501*15,PPX120
21199,2015,1,16,-3,-1,-1,0,-12,-13,-12,-13,-7,-4,-3,-9,-11,-11,-8,-4,-5,-8,-8,-10,-10,-6,-6,-6,-7,-13,0,DST1501*16,PPX120
21200,2015,1,17,-10,-14,-13,-12,-16,-21,-18,-14,-14,-15,-13,-7,-6,-5,-7,-5,-2,0,-2,-3,-6,-2,-6,-5,-9,-21,0,DST1501*17,PPX120
21201,2015,1,18,-3,-4,-5,-5,-4,-3,-1,2,4,5,5,6,8,5,0,-2,-3,-2,-1,-3,-6,-11,-8,-8,-1,-11,8,DST1501*18,PPX120
