sno,year,month,date,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,Tavg,min,max,DstYear,Century
20819,2014,1,1,-1,-1,-2,-4,-4,-9,-11,-10,-8,2,11,9,-3,-21,-34,-40,-32,-25,-24,-24,-26,-25,-19,-17,-13,-40,11,DST1401*01,PPX120
20820,2014,1,2,-19,-19,-19,-28,-27,-24,-21,-25,-21,-21,-25,-24,-17,-22,-27,-29,-24,-17,-17,-10,-11,-16,-18,-17,-21,-29,-10,DST1401*02,PPX120
20821,2014,1,3,-14,-10,-9,-13,-17,-16,-19,-21,-19,-22,-23,-20,-21,-19,-17,-18,-26,-28,-28,-30,-30,-26,-24,-23,-21,-30,-9,DST1401*03,PPX120
20822,2014,1,4,-19,-15,-14,-16,-15,-16,-14,-11,-10,-14,-13,-7,-3,-6,-9,-12,-11,-6,-5,-10,-15,-16,-14,-14,-12,-19,-3,DST1401*04,PPX120
20823,2014,1,5,-14,-12,-12,-12,-12,-11,-8,-9,-10,-11,-12,-14,-16,-14,-11,-12,-10,-4,-2,-4,-9,-10,-10,-12,-10,-16,-2,DST1401*05,PPX120
20824,2014,1,6,-15,-12,-12,-12,-9,-7,-6,-8,-10,-12,-12,-10,-7,-8,-7,-5,-3,-5,-7,-8,-10,-10,-13,-14,-9,-15,-3,DST1401*06,PPX120
20825,2014,1,7,-14,-13,-11,-14,-13,-9,-9,-11,-12,-12,-12,-11,-11,-14,-12,-5,-3,-9,-10,-3,-2,-2,0,-2,-9,-14,0,DST1401*07,PPX120
20826,2014,1,8,-6,-12,-15,-17,-16,-14,-14,-13,-15,-16,-14,-12,-14,-16,-15,-12,-9,-6,-4,-4,-8,-5,-2,-5,-11,-17,-2,DST1401*08,PPX120
20827,2014,1,9,-5,-9,-17,-25,-25,-23,-19,-17,-22,-23,-23,-20,-20,-17,-12,-7,-2,-1,0,-3,2,1,0,1,-12,-25,2,DST1401*09,PPX120
20828,2014,1,10,1,-1,-4,-4,-8,-11,-9,-6,-6,0,2,-1,-4,-5,-4,-3,-6,-8,-8,-6,-5,-5,-6,-8,-5,-11,2,DST1401*10,PPX120
20829,2014,1,11,-8,-8,-9,-11,-10,-8,-3,1,1,3,5,7,7,8,6,5,4,4,3,-3,-9,-13,-11,-6,-2,-13,8,DST1401*11,PPX120
20830,2014,1,12,-7,-11,-11,-10,-8,-8,-5,-1,-5,-8,-9,-9,-11,-14,-15,-12,-9,-10,-8,-10,-15,-11,-17,-19,-10,-19,-1,DST1401*12,PPX120
20831,2014,1,13,-19,-19,-23,-23,-22,-15,-11,-3,-2,0,1,-1,-4,-4,-5,-8,-5,-5,-6,-4,-7,-8,-8,-10,-9,-23,1,DST1401*13,PPX120
20832,2014,1,14,-14,-19,-17,-16,-12,-13,-12,-10,-12,-11,-6,-4,-7,-11,-13,-16,-12,-8,-6,-8,-12,-12,-9,-12,-11,-19,-4,DST1401*14,PPX120
20833,2014,1,15,-14,-14,-14,-15,-19,-20,-19,-17,-17,-16,-14,-11,-10,-7,-7,-7,-6,-5,-5,-5,-8,-10,-11,-12,-12,-20,-5,DST1401*15,PPX120
20834,2014,1,16,-12,-12,-10,-9,-7,-5,-5,-4,-3,-2,-2,-3,-5,-5,-5,-4,-2,0,1,2,2,1,0,-3,-4,-12,2,DST1401*16,PPX120
20835,2014,1,17,-4,-2,-1,-1,-2,-3,-2,1,3,3,3,1,0,0,-1,-1,4,7,6,1,-3,-6,-8,-9,-1,-9,7,DST1401*17,PPX120
20836,2014,1,18,-10,-11,-12,-11,-10,-8,-6,-6,-6,-6,-6,-4,-1,1,2,1,-1,-3,-1,3,9,10,11,9,-2,-12,11,DST1401*18,PPX120
20837,2014,1,19,10,12,11,8,5,5,7,8,6,5,6,8,9,9,10,10,9,8,7,4,-1,-4,-4,-2,6,-4,12,DST1401*19,PPX120
20838,2014,1,20,-3,-2,0,3,8,7,5,2,1,-3,-4,-5,-5,-5,-5,-3,-2,-2,-1,-2,-1,1,2,5,0,-5,8,DST1401*20,PPX120
20839,2014,1,21,4,3,8,8,8,8,3,-1,4,6,-3,-7,-2,0,9,14,10,-1,-2,0,-1,-13,-11,-9,1,-13,14,DST1401*21,PPX120
20840,2014,1,22,-8,-10,-11,-13,-14,-14,-15,-17,-20,-16,-11,-11,-14,-12,-13,-12,-7,-6,-4,-5,-7,-10,-9,-8,-11,-20,-4,DST1401*22,PPX120
