sno,year,month,date,0h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,Tavg,min,max,DstYear,Century
20454,2013,1,1,4,4,3,2,1,3,1,0,-1,-3,-4,-4,-1,2,1,0,-1,0,2,3,1,2,3,5,1,-4,5,DST1301*01,X220
20455,2013,1,2,7,9,10,10,10,11,11,6,2,-2,-3,0,3,0,-2,-1,-1,1,3,5,5,3,1,2,4,-3,11,DST1301*02,X220
20456,2013,1,3,7,8,11,12,11,11,9,9,9,11,11,16,20,20,19,16,13,9,7,8,10,10,7,6,11,6,20,DST1301*03,X220
20457,2013,1,4,5,5,11,13,12,11,9,9,8,8,9,11,12,13,14,14,9,12,12,8,7,3,1,1,9,1,14,DST1301*04,X220
20458,2013,1,5,2,2,4,5,6,6,6,5,7,8,8,9,9,9,10,9,5,4,5,6,7,6,4,0,6,0,10,DST1301*05,X220
20459,2013,1,6,-3,-3,0,3,7,8,9,12,15,16,18,19,17,18,22,21,17,10,9,11,15,14,11,6,11,-3,22,DST1301*06,X220
20460,2013,1,7,5,4,4,6,7,7,4,3,5,8,12,16,17,16,16,16,14,13,14,13,8,8,3,3,9,3,17,DST1301*07,X220
20461,2013,1,8,2,1,2,3,4,6,7,7,7,5,5,11,14,16,20,19,14,11,10,9,7,1,-1,2,8,-1,20,DST1301*08,X220
20462,2013,1,9,1,0,7,10,9,6,3,4,5,5,5,4,0,-1,2,2,0,-3,-1,1,0,-3,-6,-5,2,-6,10,DST1301*09,X220
20463,2013,1,10,-2,-3,-1,-2,-4,-4,-4,-2,0,1,2,6,6,3,2,2,1,3,3,3,6,5,4,2,1,-4,6,DST1301*10,X220
20464,2013,1,11,4,8,12,12,10,12,15,16,15,10,11,14,15,17,15,12,9,10,12,12,10,8,4,-2,11,-2,17,DST1301*11,X220
20465,2013,1,12,-5,-5,-6,-3,-1,-1,0,3,4,3,5,7,10,13,15,15,13,10,9,8,5,6,6,5,5,-6,15,DST1301*12,X220
20466,2013,1,13,3,3,9,10,8,6,1,3,-2,-8,-8,-3,3,5,8,8,9,11,9,5,-3,-10,-18,-13,2,-18,11,DST1301*13,X220
20467,2013,1,14,-11,-15,-15,-9,-6,-9,-15,-20,-20,-24,-28,-28,-25,-21,-11,-7,-6,-5,-5,-4,-4,-5,-6,-5,-13,-28,-4,DST1301*14,X220
20468,2013,1,15,-5,-5,-4,-5,-5,-6,-6,-9,-13,-17,-24,-24,-20,-15,-11,-3,-3,-4,-3,-1,-1,-1,-3,-5,-8,-24,-1,DST1301*15,X220
20469,2013,1,16,-7,-6,-5,-3,2,2,1,-1,-2,-7,-7,-5,-4,-3,2,3,2,4,10,9,2,2,-1,-1,-1,-7,10,DST1301*16,X220
20470,2013,1,17,13,28,41,43,31,26,22,14,12,9,6,9,19,34,27,1,-26,-44,-47,-43,-48,-51,-51,-52,-1,-52,43,DST1301*17,X220
20471,2013,1,18,-52,-47,-43,-41,-34,-29,-28,-27,-22,-20,-21,-18,-10,13,10,5,10,12,21,26,23,19,4,-8,-11,-52,26,DST1301*18,X220
20472,2013,1,19,-15,-15,-13,-13,-18,-16,-14,-10,-10,-17,-20,-23,-24,-25,-19,-13,-11,-2,7,6,4,-5,-12,-14,-12,-25,7,DST1301*19,X220
20473,2013,1,20,-19,-25,-33,-31,-27,-25,-28,-29,-28,-25,-22,-24,-20,-16,-15,-15,-17,-19,-14,-12,-11,-10,-9,-10,-20,-33,-9,DST1301*20,X220
20474,2013,1,21,-12,-12,-12,-14,-17,-17,-16,-13,-12,-12,-12,-14,-15,-13,-9,-7,-7,-9,-7,-5,-5,-6,-9,-10,-11,-17,-5,DST1301*21,X220
20475,2013,1,22,-7,-6,-8,-10,-10,-8,-7,-2,1,0,-2,-2,-2,-6,-8,-6,-3,-2,-1,-1,-1,0,-1,0,-4,-10,1,DST1301*22,X220
20476,2013,1,23,2,-1,-3,-5,-7,-7,-4,0,1,1,3,7,10,10,11,14,13,9,5,3,0,0,-3,-6,2,-7,14,DST1301*23,X220
20477,2013,1,24,-7,-8,-10,-8,-4,-1,-3,-5,-7,-6,-2,2,4,6,6,5,4,3,3,4,8,12,15,15,1,-10,15,DST1301*24,X220
20478,2013,1,25,14,17,19,14,9,3,2,1,1,6,7,4,7,10,10,13,11,20,15,18,22,20,19,6,11,1,22,DST1301*25,X220
20479,2013,1,26,-21,-19,-15,-9,-11,-15,-22,-16,-16,-26,-25,-26,-24,-21,-22,-35,-34,-26,-28,-28,-30,-43,-51,-39,-25,-51,-9,DST1301*26,X220
20480,2013,1,27,-37,-35,-35,-36,-33,-32,-32,-30,-27,-29,-29,-24,-19,-17,-16,-15,-16,-17,-16,-17,-16,-19,-20,-18,-24,-37,-15,DST1301*27,X220
20481,2013,1,28,-18,-16,-16,-14,-15,-16,-15,-15,-12,-12,-13,-15,-15,-15,-16,-14,-12,-11,-12,-10,-12,-14,-13,-11,-14,-18,-10,DST1301*28,X220
20482,2013,1,29,-9,-9,-9,-10,-13,-14,-12,-7,-3,-4,-5,-6,-2,0,1,2,1,-2,-2,-3,-4,-5,-7,-6,-5,-14,2,DST1301*29,X220
20483,2013,1,30,-4,-5,-4,-3,-2,-1,0,1,2,1,-2,-6,-8,-8,-4,-1,1,2,0,-3,-6,-9,-12,-13,-4,-13,2,DST1301*30,X220
20484,2013,1,31,-12,-12,-10,-6,-3,2,7,11,13,12,11,10,10,8,8,9,10,10,8,9,11,10,7,0,5,-12,13,DST1301*31,X220
20485,2013,2,1,-7,-9,-6,-3,0,4,5,5,4,2,-1,-2,-7,-6,-3,3,12,17,17,19,15,17,3,-1,3,-9,19,DST1302*01,X220
20486,2013,2,2,-3,-8,-6,-7,-10,-16,-7,-6,-8,-9,-7,-8,-9,-14,-17,-18,-13,-10,-13,-14,-14,-11,-9,-7,-10,-18,-3,DST1302*02,X220
20487,2013,2,3,-6,-4,-5,-8,-7,-5,-1,2,5,8,9,7,6,9,6,4,5,3,3,0,-1,-2,-2,-1,1,-8,9,DST1302*03,X220
20488,2013,2,4,0,1,2,2,1,0,1,3,4,4,4,0,-2,-3,-5,-5,-5,-6,-3,3,10,13,14,14,2,-6,14,DST1302*04,X220
20489,2013,2,5,13,11,8,8,5,0,-4,-6,-5,-6,-9,-9,-8,-5,-3,-3,-3,-3,0,1,2,2,2,3,0,-9,13,DST1302*05,X220
20490,2013,2,6,2,2,3,3,0,0,0,2,4,4,2,0,2,4,4,6,8,8,5,3,4,6,5,4,3,0,8,DST1302*06,X220
20491,2013,2,7,6,5,3,3,5,5,4,-1,-10,-25,-23,-16,-18,-21,-20,-15,-9,-6,-5,-5,-9,-8,-6,-5,-7,-25,6,DST1302*07,X220
